mtm;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998
37019004;;;;;;;;;;;;80000;72000;64800;58300;52500;;;;;;;;;
37019015;;;;;200000;180000;162000;145800;131200;118100;106300;95700;86100;77500;69700;62800;56500;50800;45800;41200;37100;33400;30000;27000;
37019053;;;;300000;252000;228000;204000;180000;168000;156000;144000;132000;120000;108000;102000;;;;;;;;;;
37019022;;;;;;;;;;;;;;;;26000;23400;21100;19000;17100;15400;13800;;;
37019081;;;;300000;252000;228000;204000;180000;168000;156000;144000;132000;120000;108000;102000;;;;;;;;;;
0024168;;;;;;;;;;;30000;27000;24300;21900;19700;17700;15900;;;;;;;;
37019057;;;;;;;;;;;30000;27000;24300;21900;19700;17700;15900;;;;;;;;
0024162;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;28000;25200;22600;20400;;;;;;;;
0024180;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;28000;25200;22600;20400;;;;;;;;
0304114;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;28000;25200;22600;20400;;;;;;;;
0304115;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;28000;25200;22600;20400;;;;;;;;
0024176;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;;;;;;;;;;;;
0024166;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;28000;25200;22600;20400;;;;;;;;
0024179;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;28000;25200;22600;20400;;;;;;;;
0304109;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;;;;;;;;;;;;
0304102;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;;;;;;;;;;;;
0304103;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;;;;;;;;;;;;
0304116;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;;;;;;;;;;;;
0304104;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;;;;;;;;;;;;
0024165;;;;;;;;;;;42000;37800;34000;30600;27600;;;;;;;;;;
37019028;;;;;;;;;;;;;;;;;;;20000;18000;16200;14600;;;
37019017;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;28000;25200;22600;20400;;;;;;;;
37019018;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;28000;25200;22600;20400;;;;;;;;
37019064;;;;;;;;;;40000;36000;32400;29200;26200;23600;21300;19100;17200;15500;;;;;;
37019056;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;28000;25200;22600;20400;;;;;;;;
37019065;;;;;;;;;;40000;36000;32400;29200;26200;23600;21300;19100;17200;15500;;;;;;
37019120;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;28000;25200;22600;20400;;;;;;;;
37019050;;;;;;;;;;40000;36000;32400;29200;26200;23600;21300;19100;17200;15500;;;;;;
37019051;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;28000;25200;22600;20400;;;;;;;;
37019103;;;;;;;;;;40000;36000;32400;29200;26200;23600;21300;19100;17200;15500;;;;;;
37019085;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;28000;25200;22600;20400;;;;;;;;
37019080;;;;;;;;;;;42000;37800;34000;30600;27600;;;;;;;;;;
37018025;;;;;;;;;90000;81000;72900;65600;59000;53100;47800;43000;38700;;;;;;;;
0304113;238800;214900;193400;174100;156700;141000;126900;114200;;;;;;;;;;;;;;;;;
0304112;238800;214900;193400;174100;156700;141000;126900;114200;;;;;;;;;;;;;;;;;
37018116;;;;;;;;;90000;81000;72900;65600;59000;53100;47800;43000;38700;;;;;;;;
37018109;;;;;;;;;90000;81000;72900;65600;59000;53100;47800;43000;38700;;;;;;;;
37018052;;;;;;;;;90000;81000;72900;65600;59000;53100;47800;43000;38700;;;;;;;;
37018121;238800;214900;193400;174100;156700;141000;126900;114200;;;;;;;;;;;;;;;;;
37019123;268800;241900;217700;196000;176400;158700;142900;128600;115700;104100;93700;84400;75900;;;;;;;;;;;;
37018023;;;;;;;;;;37600;34900;32300;29600;26900;24200;21500;18800;16800;15500;;;;;;
37018043;;;;;;;;;;37600;34900;32300;29600;26900;24200;21500;18800;16800;15500;;;;;;
37018037;;;;;;;;;;37600;34900;32300;29600;26900;24200;21500;18800;16800;15500;;;;;;
37019014;;;;;;;;;;;;;;;21000;18900;17000;15300;13800;12400;11200;10000;;;
37019027;;;;;;;;;;;;;;;21000;18900;17000;15300;13800;12400;11200;10000;;;
0024167;;;;;;;;;;;;45000;40500;36500;32800;29500;26600;23900;21500;19400;17400;15700;;;
0304119;175000;157500;141800;;;;;;;;;;;;;;;;;;;;;;
0024160;154000;138600;124700;112300;101000;90900;81800;73700;66300;59700;53700;48300;43500;39100;35200;31700;28500;;;;;;;;
37019044;154000;138600;124700;112300;101000;90900;81800;73700;66300;59700;53700;48300;43500;39100;35200;31700;28500;;;;;;;;
0024169;;;;;;;;;;;;45000;40500;36500;32800;29500;26600;23900;21500;19400;17400;15700;;;
0304105;154000;138600;124700;112300;101000;90900;81800;73700;66300;59700;53700;48300;43500;39100;35200;31700;28500;;;;;;;;
0304106;154000;138600;124700;112300;101000;90900;81800;73700;66300;59700;53700;48300;43500;39100;35200;31700;28500;;;;;;;;
0304120;154000;138600;124700;112300;101000;90900;81800;73700;66300;59700;53700;48300;43500;39100;35200;31700;28500;;;;;;;;
0304121;154000;138600;124700;112300;101000;90900;81800;73700;66300;59700;53700;48300;43500;39100;35200;31700;28500;;;;;;;;
37019019;;;;;;;;;;;;45000;40500;36500;32800;29500;26600;23900;21500;19400;17400;15700;;;
37019066;;;;;;;;;;;;45000;40500;36500;32800;29500;26600;23900;21500;19400;17400;15700;;;
37019100;154000;138600;124700;112300;101000;90900;81800;73700;66300;59700;53700;48300;43500;39100;35200;31700;28500;;;;;;;;
37019105;154000;138600;124700;112300;101000;90900;81800;73700;66300;59700;53700;48300;43500;39100;35200;31700;28500;;;;;;;;
37019067;154000;138600;124700;112300;101000;90900;81800;73700;66300;59700;53700;48300;43500;39100;35200;31700;28500;;;;;;;;
37019021;;;;;;;;85000;76500;68900;62000;55800;50200;45200;40700;36600;32900;;;;;;;;
37019104;;;;;;;;85000;76500;68900;62000;55800;50200;45200;40700;36600;32900;;;;;;;;
37019101;;;;;;;;85000;76500;68900;62000;55800;50200;45200;40700;36600;32900;;;;;;;;
0024172;268800;241900;217700;196000;176400;158700;142900;128600;115700;104100;93700;84400;75900;;;;;;;;;;;;
0304111;268800;241900;217700;196000;176400;158700;142900;128600;115700;104100;93700;84400;75900;;;;;;;;;;;;
0024150;;;;;;;;;;;;;;;;19500;18100;16800;15800;14100;13400;12800;;;
37018001;;;;;;;;;;;;;;;;19500;18100;16800;15800;14100;13400;12800;;;
37018010;;;;;;;;;;;;;;;;;;;;30000;27000;24300;;;
37018005;;;;;;;;;;;;;;;;;;;;33000;29700;26700;;;
37018008;;;;;;;;;;;;;;;;;;;;35000;31500;28400;;;
0304107;202000;181800;163600;147300;132500;119300;107400;96600;87000;78300;70400;63400;57100;51300;46200;41600;37400;;;;;;;;
0024177;202000;181800;163600;147300;132500;119300;107400;96600;87000;78300;70400;63400;57100;51300;46200;41600;37400;;;;;;;;
0024174;;;;;;;;100000;90000;81000;72900;;;;;;;;;;;;;;
0304108;265000;238500;214700;193200;;;;;;;;;;;;;;;;;;;;;
37019048;202000;181800;163600;147300;132500;119300;107400;96600;87000;78300;70400;63400;57100;51300;46200;41600;37400;;;;;;;;
37019068;154000;138600;124700;112300;101000;90900;81800;73700;66300;59700;53700;48300;43500;39100;35200;31700;28500;;;;;;;;
37019069;154000;138600;124700;112300;101000;90900;81800;73700;66300;59700;53700;48300;43500;39100;35200;31700;28500;;;;;;;;
37019115;;;;;;;;;100000;90000;81000;;;;;;;;;;;;;;
0304110;199000;179100;161200;145100;;;;;;;;;;;;;;;;;;;;;
0304117;199000;179100;161200;145100;;;;;;;;;;;;;;;;;;;;;
09819021;2092500;1782500;1658500;1534500;1410500;1333000;1271000;;;;;;;;;;;;;;;;;;
09819025;3332500;2666000;2495500;2325000;2162300;2011000;1860000;;;;;;;;;;;;;;;;;;
09819022;1937500;1550000;;;;;;;;;;;;;;;;;;;;;;;
09819024;3332500;2666000;2495500;2325000;2162300;2011000;1860000;;;;;;;;;;;;;;;;;;
09819023;;;;;;1860000;1782500;1705000;;;;;;;;;;;;;;;;;
09819026;3797500;3410000;3100000;2790000;;;;;;;;;;;;;;;;;;;;;
09819016;3642500;2867500;2712500;2557500;2402500;2325000;2247500;;;;;;;;;;;;;;;;;;
09819017;3642500;2867500;2712500;2557500;2402500;2325000;2247500;;;;;;;;;;;;;;;;;;
0351915;;;;80000;72000;64800;58300;52500;47200;42500;38300;34400;31000;27900;25100;22600;;;;;;;;;
0454615;;;;80000;72000;64800;58300;52500;47200;42500;38300;34400;31000;27900;25100;22600;;;;;;;;;
47919045;;;;80000;72000;64800;58300;52500;47200;42500;38300;34400;31000;27900;25100;22600;;;;;;;;;
0454636;141000;126900;114200;102800;92500;83300;74900;67400;60700;54600;49200;44200;39800;35800;32300;29000;;;;;;;;;
47919050;141000;126900;114200;102800;92500;83300;74900;67400;60700;54600;49200;44200;39800;35800;32300;29000;;;;;;;;;
0454632;;130000;117000;105300;94800;85300;76800;69100;62200;56000;50400;45300;40800;36700;33000;29700;26800;;;;;;;;
47919047;;130000;117000;105300;94800;85300;76800;69100;62200;56000;50400;45300;40800;36700;33000;29700;26800;;;;;;;;
0454619;;130000;117000;105300;94800;85300;76800;69100;62200;56000;50400;45300;40800;36700;33000;29700;26800;;;;;;;;
47919034;;130000;117000;105300;94800;85300;76800;69100;62200;56000;50400;45300;40800;36700;33000;29700;26800;;;;;;;;
0454604;;;;;;;;;50000;45000;40500;36500;32800;29500;26600;23900;21500;19400;;;;;;;
47919008;;;;;;;;;50000;45000;40500;36500;32800;29500;26600;23900;21500;19400;;;;;;;
0454606;;;;;;;;;50000;45000;40500;36500;32800;29500;26600;23900;21500;19400;;;;;;;
47919009;;;;;;;;;50000;45000;40500;36500;32800;29500;26600;23900;21500;19400;;;;;;;
0454602;109000;98100;88300;79500;71500;64400;57900;52100;46900;42200;38000;34200;30800;27700;24900;22400;20200;;;;;;;;
47919012;109000;98100;88300;79500;71500;64400;57900;52100;46900;42200;38000;34200;30800;27700;24900;22400;20200;;;;;;;;
0454612;141000;126900;114200;102800;92500;83300;74900;67400;60700;54600;49200;44200;39800;35800;32300;29000;;;;;;;;;
47919038;;;;80000;72000;64800;58300;52500;47200;42500;38300;34400;31000;27900;25100;22600;;;;;;;;;
0454611;;;;;;;;;50000;45000;40500;36500;32800;29500;26600;23900;21500;19400;;;;;;;
47919030;;;;160000;144000;129600;116600;105000;94500;85000;76500;68900;62000;55800;50200;45200;40700;36600;32900;29600;26700;;;;
0454665;172000;154800;139300;125400;112800;101600;91400;82300;74000;66600;60000;54000;48600;43700;39300;35400;31900;28700;25800;;;;;;
0454633;;;;170000;153000;137700;123900;111500;100400;90300;81300;73200;65900;59300;;;;;;;;;;;
0454628;;;;;;;;;50000;45000;40500;36500;32800;29500;26600;23900;21500;19400;;;;;;;
0454629;;;;;;;;;50000;45000;40500;36500;32800;29500;26600;23900;21500;19400;;;;;;;
47919031;;;;;;;;;50000;45000;40500;36500;32800;29500;26600;23900;21500;19400;;;;;;;
47919032;;;;;;;;;50000;45000;40500;36500;32800;29500;26600;23900;21500;19400;;;;;;;
0454627;;;;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;28000;25200;;;;;;;
0454626;;;;;;;;;;;;45000;42800;40600;38600;36700;34800;;;;;;;;
47919041;;;;;;;;;;;;45000;42800;40600;38600;36700;34800;;;;;;;;
47919042;;;;;;;;;;;;45000;42800;40600;38600;36700;34800;;;;;;;;
0454621;;;;;;;;80000;72000;64800;58300;52500;47200;42500;38300;34400;31000;27900;;;;;;;
0454605;172000;154800;139300;125400;112800;101600;91400;82300;74000;66600;60000;54000;48600;43700;39300;35400;31900;28700;25800;;;;;;
47919017;172000;154800;139300;125400;112800;101600;91400;82300;74000;66600;60000;54000;48600;43700;39300;35400;31900;28700;25800;;;;;;
0454681;234200;180000;;;;;;;;;;;;;;;;;;;;;;;
47919007;;;;;;;;100000;90000;81000;72900;65600;59000;53100;47800;43000;38700;34900;;;;;;;
0454603;;;;;;;;100000;90000;81000;72900;65600;59000;53100;47800;43000;38700;34900;;;;;;;
47919013;;;;;;;;100000;90000;81000;72900;65600;59000;53100;47800;43000;38700;34900;;;;;;;
0454607;;;;160000;144000;129600;116600;105000;94500;85000;76500;68900;62000;55800;50200;45200;40700;36600;32900;29600;26700;;;;
47919016;;;;160000;144000;129600;116600;105000;94500;85000;76500;68900;62000;55800;50200;45200;40700;36600;32900;29600;26700;;;;
0454622;;;;;;;;90000;85500;81200;77200;73300;69600;66200;62900;59700;56700;;;;;;;;
47919029;;;;;;;;90000;85500;81200;77200;73300;69600;66200;62900;59700;56700;;;;;;;;
47919033;330000;250000;220000;190000;160000;130000;120000;110000;100000;90000;80000;70000;60000;55000;50000;45000;40000;;;;;;;;
0454631;330000;250000;220000;190000;160000;130000;120000;110000;100000;90000;80000;70000;60000;55000;50000;45000;40000;;;;;;;;
0454642;;;;150000;135000;121500;109400;98400;88600;79700;71700;64600;58100;52300;47100;;;;;;;;;;
47919052;;;;150000;135000;121500;109400;98400;88600;79700;71700;64600;58100;52300;47100;;;;;;;;;;
0454616;;;;;;;;;120000;108000;97200;87500;78700;70900;63800;57400;51700;;;;;;;;
47919035;;;;;;;;;120000;108000;97200;87500;78700;70900;63800;57400;51700;;;;;;;;
47919024;;;;;;;;;;;;50000;47500;45100;42900;40700;38700;;;;;;;;
0454624;;;;;70000;63000;56700;51000;45900;41300;37200;33500;30100;27100;24400;22000;19800;17800;;;;;;;
0394606;;;;;;;;50000;45000;40500;36500;32800;29500;26600;23900;21500;19400;17400;;;;;;;
0394607;;;;;;;;60000;54000;48600;43700;39400;35400;31900;28700;25800;;;;;;;;;
0454609;;;;;160000;144000;129600;116600;105000;94500;85000;76500;68900;62000;55800;50200;45200;40700;36600;;;;;;
47918019;;;;;160000;144000;129600;116600;105000;94500;85000;76500;68900;62000;55800;50200;45200;40700;36600;;;;;;
0454610;;;;;160000;144000;129600;116600;105000;94500;85000;76500;68900;62000;55800;50200;45200;40700;36600;;;;;;
47918020;;;;;160000;144000;129600;116600;105000;94500;85000;76500;68900;62000;55800;50200;45200;40700;36600;;;;;;
0454680;165000;148500;133700;120300;;;;;;;;;;;;;;;;;;;;;
0454644;;;200000;180000;162000;145800;131200;118100;106300;95700;86100;77500;69700;62800;56500;50800;45800;41200;;;;;;;
47907022;;;200000;180000;162000;145800;131200;118100;106300;95700;86100;77500;69700;62800;56500;50800;45800;41200;;;;;;;
0454645;;;;;;;;;;;;70000;66500;63200;60000;57000;54200;51500;;;;;;;
47907025;;;;;;;;;;;;70000;66500;63200;60000;57000;54200;51500;;;;;;;
0454638;;;;;;;500000;475000;451300;428700;407300;386900;367500;349200;;;;;;;;;;;
0454639;;;;;;;;;400000;380000;361000;343000;325800;309500;;;;;;;;;;;
47919062;;;;;;;500000;475000;451300;428700;407300;386900;367500;349200;;;;;;;;;;;
0454646;;;78000;70000;65000;60000;55000;50000;45000;40000;35000;30000;28000;26000;24000;;;;;;;;;;
47907039;;;78000;70000;65000;60000;55000;50000;45000;40000;35000;30000;28000;26000;24000;;;;;;;;;;
0454666;;;;;;;;;58500;52000;45500;39000;36400;33800;31200;;;;;;;;;;
47907040;;;;;;;;;58500;52000;45500;39000;36400;33800;31200;;;;;;;;;;
47907063;;;;;;;;70000;66500;63200;60000;57000;54200;;;;;;;;;;;;
0454620;;;;;;;;50000;45000;40500;36500;32800;29500;26600;23900;21500;19400;17400;;;;;;;
0454637;;;;;;;;60000;54000;48600;43700;39400;35400;31900;28700;25800;;;;;;;;;
47919061;;;;;;;;150000;135000;121500;109400;98400;88600;;;;;;;;;;;;
0454661;;;;;180000;162000;145800;131200;118100;106300;95700;86100;;;;;;;;;;;;;
0454656;;;;;;;;150000;135000;121500;109400;98400;88600;79700;;;;;;;;;;;
47919048;;;;;;;;150000;135000;121500;109400;98400;88600;79700;;;;;;;;;;;
47907069;;;;100000;90000;81000;72900;;;;;;;;;;;;;;;;;;
47907068;187350;168600;151800;136600;;;;;;;;;;;;;;;;;;;;;
0454613;297300;175000;160000;145000;130000;120000;110000;100000;90000;85000;62100;55900;50300;45300;40800;36700;33000;29700;;;;;;;
0454643;525800;;;;200000;180000;162000;145800;131200;118100;106300;95700;86100;77500;69700;62800;56500;;;;;;;;
47907026;525800;;;;200000;180000;162000;145800;131200;118100;106300;95700;86100;77500;69700;62800;56500;;;;;;;;
47907074;525800;;;;200000;180000;162000;145800;131200;118100;106300;95700;86100;77500;69700;62800;56500;;;;;;;;
0454660;;;;;;;;75000;67500;60800;54700;49200;44300;39900;35900;;;;;;;;;;
0454653;;;;;220000;198000;178200;160400;144300;129900;116900;105200;94700;85200;76700;69000;62100;;;;;;;;
0454647;;;;;220000;198000;178200;160400;144300;129900;116900;105200;94700;85200;76700;69000;62100;;;;;;;;
47907027;;;;;220000;198000;178200;160400;144300;129900;116900;105200;94700;85200;76700;69000;62100;;;;;;;;
0454625;;150000;135000;121500;109400;98400;88600;79700;71700;64600;58100;52300;47100;42400;38100;34300;30900;;;;;;;;
0454614;158000;142200;128000;115200;103700;93300;84000;75600;68000;61200;55100;49600;44600;40200;36100;32500;29300;;;;;;;;
47919043;158000;142200;128000;115200;103700;93300;84000;75600;68000;61200;55100;49600;44600;40200;36100;32500;29300;;;;;;;;
0454669;172000;154800;139300;125400;112800;101600;91400;82300;74000;66600;60000;54000;48600;43700;39300;35400;31900;28700;25800;;;;;;
47919073;172000;154800;139300;125400;112800;101600;91400;82300;74000;66600;60000;54000;48600;43700;39300;35400;31900;28700;25800;;;;;;
47919036;;150000;135000;121500;109400;98400;88600;79700;71700;64600;58100;52300;47100;42400;38100;34300;30900;;;;;;;;
0454668;172000;154800;139300;125400;112800;101600;91400;82300;74000;66600;60000;54000;48600;43700;39300;35400;31900;28700;25800;;;;;;
0454635;;;;;;;;;65000;58500;52700;47400;42600;38400;34500;;;;;;;;;;
47919049;;;;;;;;;65000;58500;52700;47400;42600;38400;34500;;;;;;;;;;
0454674;319000;230000;190000;160000;140000;;;;;;;;;;;;;;;;;;;;
0454679;424000;340000;300000;250000;;;;;;;;;;;;;;;;;;;;;
0454677;526000;420000;360000;320000;300000;;;;;;;;;;;;;;;;;;;;
0454664;;;;;;125000;112500;101300;91100;82000;;;;;;;;;;;;;;;
0454673;235000;162900;146600;131900;118800;;;;;;;;;;;;;;;;;;;;
47919059;;;;;180000;162000;145800;131200;118100;106300;95700;86100;77500;;;;;;;;;;;;
0454672;310000;244800;220300;198300;;;;;;;;;;;;;;;;;;;;;
0454678;629000;550000;500000;;;;;;;;;;;;;;;;;;;;;;
0454662;;;;;180000;162000;145800;131200;118100;106300;95700;86100;77500;;;;;;;;;;;;
0454663;459000;370000;330000;280000;250000;220000;200000;180000;160000;150000;130000;;;;;;;;;;;;;;
0454670;459000;370000;330000;280000;250000;220000;200000;180000;160000;150000;130000;;;;;;;;;;;;;;
47919051;;;;;150000;135000;121500;109400;98400;88600;79700;71700;64600;58100;52300;;;;;;;;;;
47918051;;;;;150000;135000;121500;109400;98400;88600;79700;71700;64600;58100;52300;;;;;;;;;;
0454634;;;;;150000;135000;121500;109400;98400;88600;79700;71700;64600;58100;52300;;;;;;;;;;
0454618;;;;;70000;66500;63200;60000;57000;54200;51500;48900;46400;44100;41900;39800;37800;35900;;;;;;;
47918044;244000;219600;197600;177900;160100;144100;129700;116700;105000;94500;85100;76600;68900;62000;55800;;;;;;;;;;
0454623;;;;;;;;55000;52300;49600;47200;44800;42600;40400;38400;36500;34700;;;;;;;;
47919053;399000;320000;280000;240000;200000;180000;160000;140000;120000;100000;80000;60000;40000;;;;;;;;;;;;
0454659;399000;320000;280000;240000;200000;180000;160000;140000;120000;100000;80000;60000;40000;;;;;;;;;;;;
0454648;244000;219600;197600;177900;160100;144100;129700;116700;105000;94500;85100;76600;68900;62000;55800;;;;;;;;;;
47918046;244000;219600;197600;177900;160100;144100;129700;116700;105000;94500;85100;76600;68900;62000;55800;;;;;;;;;;
0454676;244000;219600;197600;177900;160100;144100;129700;116700;105000;94500;85100;76600;68900;62000;55800;;;;;;;;;;
0454667;244000;219600;197600;177900;160100;144100;129700;116700;105000;94500;85100;76600;68900;62000;55800;;;;;;;;;;
0454671;192000;172800;155500;140000;126000;;;;;;;;;;;;;;;;;;;;
0454640;;;;;;;;;;;;170000;160000;;;;;;;;;;;;
0454652;;;;160000;144000;129600;116600;105000;94500;85000;76500;68900;62000;55800;50200;;;;;;;;;;
0454658;;;;175000;157500;141800;127600;114800;103300;93000;83700;75300;67800;;;;;;;;;;;;
0454649;;;;;;;;;;;;170000;153000;137700;123900;111500;100400;;;;;;;;
47907023;;;;;;;;;;;;170000;153000;137700;123900;111500;100400;;;;;;;;
47907021;;;;;;;;;;;;170000;153000;137700;123900;111500;100400;;;;;;;;
47907064;;;;;;;;200000;180000;162000;145800;131200;;;;;;;;;;;;;
0454617;;;;;;;;100000;90000;81000;72900;65600;59000;53100;47800;43000;38700;34900;;;;;;;
47918037;;;;;;;;100000;90000;81000;72900;65600;59000;53100;47800;43000;38700;34900;;;;;;;
0454630;;;;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;28000;25200;;;;;;;
47919028;;;;110000;99000;89100;80200;72200;65000;58500;52600;47400;42600;38400;34500;31100;28000;25200;;;;;;;
0454682;360000;324000;291600;262400;236200;212600;191300;172200;155000;139500;125500;113000;;;;;;;;;;;;;
47919060;360000;324000;291600;262400;236200;212600;191300;172200;155000;139500;125500;113000;;;;;;;;;;;;;
B8219021;;;;;;5086400;4808400;4546000;4318700;4082900;3878800;3667000;3483600;3309400;;;;;;;;;;;
B8219018;;;;;;;1777400;1680400;1596400;1509200;1433800;;;;;;;;;;;;;;
B8219016;;;;;;3523600;3423400;3236600;3074800;;;;;;;;;;;;;;;;
B8219017;4727500;4464000;4160200;3782000;3403800;3063400;2757100;;;2007300;1806500;1626000;;;;;;;;;;;;;
B8219028;5859000;5566100;5287800;5023400;;;;;;;;;;;;;;;;;;;;;
B8219020;;;;;3371900;3065300;2666800;2400200;2160100;1944200;;;;;;;;;;;;;;;
B8219014;;;;4749200;4179300;3799400;3305400;2974900;2677500;2409600;2168800;1951800;1756600;;;;;;;;;;;;
B8219022;;;;3463800;2990000;2718100;2364700;2128300;1915500;1723900;1551600;1396400;;;;;;;;;;;;;
B8219013;;;;;;5086400;4808400;4546000;4318700;4082900;3878800;3667000;3483600;3309400;;;;;;;;;;;
B8219032;5115000;4859300;4616400;4385400;4166200;;;;;;;;;;;;;;;;;;;;
B8219006;;;;;;;;;;;;;;;;730000;700000;670000;620000;580000;540000;500000;;;
B8219026;;;;7440000;6665000;5944600;5052800;;;;;;;;;;;;;;;;;;
B8219015;;;;;3371900;3065300;2666800;2400200;2160100;1944200;;;;;;;;;;;;;;;
B8219019;;;;;5751000;5086400;4483000;4029700;3597900;3150900;2864400;;;;;;;;;;;;;;
B8219034;5270000;5006500;;;;;;;;;;;;;;;;;;;;;;;
B8219023;;;;;4256300;3869400;3559900;;;;2358600;2170000;1996400;1836600;;;;;;;;;;;
B8219024;;;;;4256300;3869400;3559900;;;;2358600;2170000;1996400;1836600;;;;;;;;;;;
0357101;;;;;;;;;;;;;;;;;;;;;276000;241500;207000;184000;101200
0357102;;;;;;;;;;;;;;;;;;;;;276000;241500;207000;184000;101200
0357105;;;;;;;;;;;;;;;;;;;;;276000;241500;207000;184000;101200
0357104;;;;;;;;;;;;;;;;;;;;;276000;241500;207000;184000;101200
0357103;;;;;;;;;;;;;;;;;;;;;276000;241500;207000;184000;101200
67635010;13051155;12268100;11532000;10840100;10189700;9578200;9003600;8463300;7955500;7478300;7029600;6607800;;;;;;;;;;;;;
67635049;13051155;12268100;11532000;10840100;10189700;9578200;9003600;8463300;7955500;7478300;7029600;6607800;;;;;;;;;;;;;
67635048;13239635;12445300;11698500;10996600;10336800;9716600;9133700;8585600;8070500;7586200;7131100;6703100;;;;;;;;;;;;;
0836720;13051155;12268100;11532000;10840100;10189700;9578200;9003600;8463300;7955500;7478300;7029600;6607800;;;;;;;;;;;;;
0896720;13051155;12268100;11532000;10840100;10189700;9578200;9003600;8463300;7955500;7478300;7029600;6607800;;;;;;;;;;;;;
0916720;13051155;12268100;11532000;10840100;10189700;9578200;9003600;8463300;7955500;7478300;7029600;6607800;;;;;;;;;;;;;
67635025;13736255;12912100;12137400;11409100;10724600;10081000;9476200;8907700;8373300;7870700;7398600;6954700;;;;;;;;;;;;;
67635035;13924735;13089300;12303900;11565600;10871700;10219500;9606300;9029800;8488100;7978800;7500100;7050000;;;;;;;;;;;;;
0836721;13736255;12912100;12137400;11409100;10724600;10081000;9476200;8907700;8373300;7870700;7398600;6954700;;;;;;;;;;;;;
0896721;13736255;12912100;12137400;11409100;10724600;10081000;9476200;8907700;8373300;7870700;7398600;6954700;;;;;;;;;;;;;
0916721;13736255;12912100;12137400;11409100;10724600;10081000;9476200;8907700;8373300;7870700;7398600;6954700;;;;;;;;;;;;;
67635015;13924735;13089300;12303900;11565600;10871700;10219500;9606300;9029800;8488100;7978800;7500100;7050000;;;;;;;;;;;;;
67635363;16244;15300;14400;;;;;;;;;;;;;;;;;;;;;;
67636335;51091410;47514900;44189000;41095800;;;;;;;;;;;;;;;;;;;;;
67636337;62738110;58346500;54262200;50463800;;;;;;;;;;;;;;;;;;;;;
67636338;75669295;70372500;65446400;60865100;;;;;;;;;;;;;;;;;;;;;
67636339;98740115;91828400;85400400;79422300;;;;;;;;;;;;;;;;;;;;;
0736711;;;;;;37975000;34937000;32142000;;;;;;;;;;;;;;;;;
0836711;;;;;;37975000;34937000;32142000;;;;;;;;;;;;;;;;;
0896711;;;;;;37975000;34937000;32142000;;;;;;;;;;;;;;;;;
0916711;;;;;;37975000;34937000;32142000;;;;;;;;;;;;;;;;;
0736707;;;;;;37975000;34937000;32142000;;;;;;;;;;;;;;;;;
0836707;;;;;;37975000;34937000;32142000;;;;;;;;;;;;;;;;;
0896707;;;;;;37975000;34937000;32142000;;;;;;;;;;;;;;;;;
0916707;;;;;;37975000;34937000;32142000;;;;;;;;;;;;;;;;;
0736708;;;;;;36425000;33511000;30830100;;;;;;;;;;;;;;;;;
0836708;;;;;;36425000;33511000;30830100;;;;;;;;;;;;;;;;;
0896708;;;;;;36425000;33511000;30830100;;;;;;;;;;;;;;;;;
0916708;;;;;;36425000;33511000;30830100;;;;;;;;;;;;;;;;;
0736712;;;;;;44175000;40641000;37389700;;;;;;;;;;;;;;;;;
0836712;;;;;;44175000;40641000;37389700;;;;;;;;;;;;;;;;;
0896712;;;;;;44175000;40641000;37389700;;;;;;;;;;;;;;;;;
0916712;;;;;;44175000;40641000;37389700;;;;;;;;;;;;;;;;;
0736709;;;;;;44175000;40641000;37389700;;;;;;;;;;;;;;;;;
0836709;;;;;;44175000;40641000;37389700;;;;;;;;;;;;;;;;;
0896709;;;;;;44175000;40641000;37389700;;;;;;;;;;;;;;;;;
0916709;;;;;;44175000;40641000;37389700;;;;;;;;;;;;;;;;;
