mtm;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998
00421077;;;;;;;;;;;;;;;;;;;;;;7762500;7374400;7005700;6655400
00421063;;;;;;;;;;;;;;;;;;;;;;7762500;7374400;7005700;6655400
00422070;;;;;;;;;;;;;;;;;;;;;;;415000;410300;405500
00422185;;;;;;;;;;;;;;;;;;;;;;;459800;454700;449700
00402205;;;;;;;;;;;;;;;;;;;;;464800;459800;454700;449700;444600
00402306;;;;;;;;;;;;;;;;;1077900;1024000;972800;;;;;;
00421264;;;;;;;;;;;;4668500;4617400;4566400;4515400;4442600;;;;;;;;;
00422264;;;;;;;;;;;;4668500;4617400;4566400;4515400;4442600;;;;;;;;;
00402315;10819000;10385000;9520700;8655200;6924200;;;;;;;;;;;;;;;;;;;;
00402317;12865000;12353500;11321200;10292000;8233600;;;;;;;;;;;;;;;;;;;;
00402320;43865000;32550000;27900000;24800000;23250000;;;;;;;;;;;;;;;;;;;;
00402316;43865000;32550000;27900000;24800000;23250000;;;;;;;;;;;;;;;;;;;;
00405068;;;;;;;;;2301800;2092500;1883300;1694900;;;;;;;;;;;;;
00405284;5859000;5626500;5155900;4687200;4218500;3796600;3417000;3075200;2767700;2491000;2241900;2017600;;;;;;;;;;;;;
00405285;;;;;;;;;2402500;2162300;1946000;1751500;;;;;;;;;;;;;
00405286;4727500;4464000;4160200;3782000;3403800;3063400;2757100;;;2007300;1806500;1626000;;;;;;;;;;;;;
00405292;;;;;;;;;2557500;2301800;2071600;1864500;;;;;;;;;;;;;
00405283;6169000;5921000;5428700;4935200;4441700;3997500;3597700;3238000;2914200;2622800;2360500;2124400;;;;;;;;;;;;;
00421270;;;;;;;;;;;;;6413700;5701100;;;;;;;;;;;
00422154;;;;;;;;;;;;;;;;;;;;4939800;4692800;4458100;4235200;4023500;3822300
00422245;;;;;;;;;;;;;5701100;5416000;5145200;4864100;4620900;4389900;;;;;;;
00401247;;;;;;;;;;;;;7126400;6770000;6431500;6080100;5776100;5487300;;;;;;;
00422257;;;;;;;;;;;;;7126400;6770000;6431500;6080100;5776100;5487300;;;;;;;
00401230;;;;;;;;;;;;;7126400;6770000;6431500;6080100;5776100;5487300;;;;;;;
00422230;;;;;;;;;;;;;7126400;6770000;6431500;6080100;5776100;5487300;;;;;;;
00421085;;;;;;;;;;;;;;;;;;;;4939800;4692800;4458100;4235200;4023500;3822300
00421100;;;;;;;;;;;;;;;;;;;;4939800;4692800;4458100;4235200;4023500;3822300
00421201;;;;;;;;;;;;;;;;;;;;4939800;4692800;4458100;4235200;4023500;3822300
00421159;;;;;;;;;;;;;;;;;;;;4939800;4692800;4458100;4235200;4023500;3822300
00421099;;;;;;;;;;;;;;;;;;;;4939800;4692800;4458100;4235200;4023500;3822300
00421064;;;;;;;;;;;;;;;;;;;;4939800;4692800;4458100;4235200;4023500;3822300
00422263;;;;;;5086400;4808400;4546000;4318700;4082900;3878800;3667000;3483600;3309400;;;;;;;;;;;
00422290;;;;;;5086400;4808400;4546000;4318700;4082900;3878800;3667000;3483600;3309400;;;;;;;;;;;
00422293;;;;;;;1777400;1680400;1596400;1509200;1433800;;;;;;;;;;;;;;
00422276;;;;;4055200;3633100;;;1528400;1445000;1372700;1297800;1232900;;;;;;;;;;;;
00422280;;;;;;5086400;4808400;4546000;4318700;4082900;3878800;3667000;3483600;3309400;;;;;;;;;;;
00422295;;;;;5751000;5086400;4483000;4029700;3597900;3150900;2864400;;;;;;;;;;;;;;
00422312;4727500;4572500;4417500;4262500;4107500;3797500;;;;;;;;;;;;;;;;;;;
00426071;;;;;;;;;;;;9976900;9478000;9004100;8553900;8086600;;;;;;;;;
00426244;;;;;;;;;;;;9976900;9478000;9004100;8553900;8086600;;;;;;;;;
00421202;;;;;;;;;;;;;;;;;;;;;;7056800;6704000;6368800;6050300
00426250;;;;;;;;;;;;;10689500;10155000;9647300;9120200;;;;;;;;;
00421107;;;;;;;;;;;;;;;;;;;;;;;;;444600
00421106;;;;;;;;;;;;;;;;;;;;;;7056800;6704000;6368800;6050300
00426095;;;;;;;;;;;;;;;;;;;;;;7056800;6704000;6368800;6050300
00405319;11594000;11129000;10202700;9275200;8347700;;;;;;;;;;;;;;;;;;;;
00410319;11594000;11129000;10202700;9275200;8347700;;;;;;;;;;;;;;;;;;;;
00410318;14182500;13609000;12480600;11346000;10211400;9300000;;;;;;;;;;;;;;;;;;;
00405251;;;;;;;;;;;;;;;;;;;;;;437000;426900;421900;416800
00421084;;;;;;;;;;;;;;;;;;;;;;7056800;6704000;6368800;6050300
00426200;;;;;;;;;;;;9976900;9478000;9004100;8553900;8086600;;;;;;;;;
J9535005;3642500;3441000;3278300;3114400;2958600;2810800;;;;;;;;;;;;;;;;;;;
J9535004;4045500;3564200;3394500;3239500;3077500;2923600;2777400;2638600;;;;;;;;;;;;;;;;;
J9535003;4929000;4345400;4138500;3937000;3740200;3553200;3375400;3206600;;;;;;;;;;;;;;;;;
J9535002;5812500;5126600;4882500;4650000;4417500;4196600;3986800;3787400;;;;;;;;;;;;;;;;;
J9535001;8308000;7323800;6975000;6649500;6317000;6001100;5701100;5416000;;;;;;;;;;;;;;;;;
C9919001;;;;;;;;;;;;16900;15300;13700;12600;;;;;;;;;;
0505007;;;;;;;;;;;21300;19100;16900;14200;13100;;;;;;;;;;
C9919007;;;;;;;;;;;21300;19100;16900;14200;13100;;;;;;;;;;
